,gen_summary,ref_summary,full_text
88,студия инфографики планирует подготовить следующие материалы,27 января студия инфографики планирует подготовить восемь материалов,"как зарегистрировать автомобиль. флэш- ожидается к 17-00 мск.2. платные дороги россии. тарифы на проезд.- сколько будет стоить проезд по платным дорогам, кто освобожден от платы. ожидается к 17-00 мск.3. блокада ленинграда. обновление.- ожидается к 18-00 мск.3. курсы валют.- динамика курсов валют за неделю. ожидается к 17-00 мск.4. фондовые индексы бирж мира.- динамика индексов за неделю. ожидается к 15-00 мск.5. боинг 737 - самый массовый пассажирский самолет.- перевод на английский язык. ожидается к 12-00 мск.6. что собой представляет мавзолей в.и. ленина- перевод на испанский язык. готова7. особенности русской зимней рыбалки.- перевод на французский язык. готова.8. кто претендует на антарктиду.-перевод на английский язык. ожидается к 15-00 мск.в ближайшее время студия инфографики планирует подготовить следующие материалы:1. география чехова. поездки и путешествия писателя.2. новые госпошлины. гибдд увеличила размер пошлин, взимаемых за регистрацию автомобилей, техосмотр и другие услуги.3. государственные услуги и их доступность через интернет.4. современный процесс производства водки (к 145-летию защиты д. менделеевым докторской диссертации по теме ""о соединении спирта с водою"").5. что такое попутный газ, технологии использования такого газа.6. итоги жеребьевки отборочного турнира чемпионата европы по футболу 2012 г.7. пулемет ""максим"": характеристики, устройство.8. места празднования масленицы в москве.9. спортивные объекты зимней олимпиады в ванкувере.10. инфоэкраны риа новости в россии.11. советы по постановке автомобиля на учет в гибдд.для желающих приобрести инфографические материалы контактный телефон 645-66-01, доб. 7251 e-mail: infografica@rian.ru"
89,Неизвестные устроили в афинах по меньшей мере пять поджогов,неизвестные устроили серию поджогов в афинах,"неизвестные устроили в ночь на среду в афинах по меньшей мере пять поджогов, которые произошли в течение полутора часов, сообщила пожарная охрана греции.наиболее серьезным был пожар в южном предместье аргируполи, где был подожжен супермаркет французской сети carrefour. огонь тушили десять пожарных расчетов - более тридцати человек, пострадавших нет, говорится с пресс-релизе пожарной охраны.в приморском районе глифада с разницей в 15 минут были подожжены три мотоцикла, а затем частный автомобиль. на западе города отмечено еще два поджога, сгорели три машины.хулиганство в виде поджогов автомобилей, магазинов и банков достаточно широко распространено в греции. особенно часто поджигают автомобили с дипломатическими номерами. так, в январе этого года неизвестные сожгли на севере афин автомобиль представительского класса, принадлежавший российскому дипломату.читайте подробнее об автомобильном вандализме, а также о самых частыхе причинах поджогов >>"
90,"Новый глава пасе заявляет, что первым визитом в россию станет мевлют чавушоглу",новый глава пасе рассчитывает в скором времени посетить россию,"новый глава парламентской ассамблеи совета европы (пасе) мевлют чавушоглу, который был избран на этот пост в понедельник, заявляет, что его первым визитом в новом качестве станет визит в россию.""россия - очень важная для нашей организации страна"", - сказал он интервью риа новости.глава пасе заметил, что ""уже получил приглашение"" и сейчас рассматривает возможности для визита.отвечая на вопрос, можно ли ожидать его визита в москву в ближайшие месяцы,чавушоглу шутливо заметил, что посетит россию тогда, ""когда погода будет нормальная"".нынешний глава пасе уже бывал в нашей стране. последний раз он посещал россию в ноябре прошлого года - в качестве докладчика по проблеме голода на украине в 1930-е годы."
91,В кирове почти 3 тысячи жителей кирова остались без холодной воды,почти 3 тысячи жителей кирова остались без воды из-за аварии,"почти 3 тысячи жителей кирова остались без холодной воды в результате прорыва трубы холодного водоснабжения, сообщил в среду риа новости сотрудник приволжского регионального центра мчс рф михаил турков.""прорыв трубы произошел поздно вечером во вторник на одной из центральных улиц кирова - улице ленина. в результате без холодной воды остались 17 домов, в которых проживает приблизительно 2,8 тысячи человек"", - сказал турков.по его словам, горячая вода и тепло в дома подаются.городские власти организовали для пострадавших жителей доставку холодной воды машинами.как отметил сотрудник мчс, ремонтные бригады рассчитывают устранить аварию к 13.00 мск."
92,расторгуев стал депутатом госдумы,"лидер группы ""любэ"" расторгуев стал депутатом госдумы","известный певец, лидер группы ""любэ"" николай расторгуев стал депутатом госдумы, решение о передаче ему вакантного мандата фракции ""единая россия"" принял на заседании в среду центризбирком рф.как сообщила пресс-служба цик, решение принято в связи с досрочным прекращением полномочий депутата госдумы, единоросса сергея сметанюка после его назначения на должность заместителя полномочного представителя президента рф в уральском федеральном округе.певец был внесен в список ""единой россии"" по ставропольскому краю. предложить цик россии кандидатуру расторгуева для передачи ему вакантного депутатского мандата решил президиум генсовета ""единой россии"" 20 января.получив мандат депутата госдумы, расторгуев пополнил ряды известных парламентариев, среди которых есть режиссеры, певцы, артисты и спортсмены.так, во фракцию ""единая россия"" входят режиссер станислав говорухин, балерина большого театра светлана захарова, певец иосиф кобзон, известный телеведущий валерий комиссаров и целая ""спортивная команда"": олимпийские чемпионы алина кабаева, светлана хоркина, светлана журова, антон сихарулидзе, светлана ишмуратова, александр карелин, ирина роднина и владислав третьяк, а также президент фонда развития женского бокса наталья карпович.кроме того, во фракции ""справедливая россия"" работает известная актриса елена драпеко, а во фракции кпрф - нобелевский лауреат по физике жорес алферов."
93,миграция антилоп-дзеренов усилит российскую популяцию,миграция антилоп-дзеренов усилит популяцию копытных в рф - эксперт,"миграция антилоп-дзеренов из монголии в россию - обычное явление, которое позволит усилить российскую популяцию этих копытных, сообщила риа новости руководитель программ всемирного фонда дикой природы (wwf россии) ольга переладова.""эта миграция усилит нашу популяцию дзеренов. если они идут к нам, значит у нас условия лучше - в даурском ущелье уровень снежного покрова ниже, чем в монголии и им легче добывать корм"", - сказала она, добавив, что дзерены - очень выносливые животные.стихийная миграция дзеренов с территории монголии началась на стыке 2009 и 2010 годов. по информации региональной госохотслужбы, в приграничные районы забайкальского края из-за голода в монголии мигрировало около 35-40 тысяч дзеренов. вдоль границы со стороны монголии в настоящее время скопилось еще 60-70 тысяч животных.газели–дзерены. справка >>из-за миграции животных участились случаи нарушения границы и браконьерства. минприроды рф 15 января обратилось в правительство края с просьбой обеспечить особый режим контроля за незаконной добычей дзеренов, и руководство госохотслужбы перебросило к границе инспекторов из соседних муниципалитетов. власти забайкалья рассматривают возможность введения в ряде граничащих с монголией районов режима чс.из-за миграции антилоп на границе с монголией могут ввести режим чс >>собеседник риа новости отметила, что подобные волны миграции случались и раньше.""такие волны уже были. ранее основной опасностью для них были инженерные сооружения на погранпереходах - очень много животных гибло там. однако при содействии погранслужбы специально для них были сделаны проходы, поэтому в настоящее время миграци"
94,Генеральная прокуратура рф выявила нарушения в деятельности рао,многочисленные нарушения выявлены в деятельности академии образования,"генеральная прокуратура рф выявила многочисленные нарушения в деятельности российской академии образования (рао) и подведомственных ей учреждений и внесла в адрес президента академии представление об их исправлении, говорится в сообщении, размещенном в среду на сайте генпрокуратуры рф.""генеральная прокуратура рф провела проверку в российской академии образования и подведомственных ей учреждениях, в ходе которой выявила нарушения законодательства о науке, научно-технической деятельности, государственной собственности и бюджетного законодательства"", - говорится в сообщении.ведомство отмечает, что в результате ненадлежащего исполнения своих полномочий должностные лица рао не обеспечивают в полной мере интересы российской федерации, создают условия для бесконтрольного использования результатов научной деятельности, государственной собственности, неэффективного расходования бюджетных средств.""по результатам проверки генеральная прокуратура рф внесла в адрес президента академии представление. кроме того, руководителю федерального агентства по управлению государственным имуществом направлено поручение об устранении выявленных нарушений законодательства"", - говорится в сообщении."
95,В россии нужно создать систему развития паралимпийского спорта,"в россии нужна система развития паралимпийского спорта, считает мутко","в россии существует необходимость создания системы развития спорта среди людей с ограниченными возможностями, заявил в среду министр спорта, туризма и молодежной политики рф виталий мутко.""развитие паралимпийского спорта – одно из приоритетных направлений в нашей стране, - сказал мутко на заседании штаба по подготовке к паралимпиаде-2010. – мы с нетерпением ждем паралимпийских игр в ванкувере, где наши спортсмены должны успешно выступить. но нам надо смотреть уже дальше, дальше ванкувера, дальше сочи. нужно создать систему развития спорта для людей с ограниченными возможностями"".по словам министра, одна из основных задач – добиться представительства российских спортсменов во всех пяти паралимпийских видах спорта. в настоящее время сборная россии выступает в трех видах – лыжных гонках, биатлоне и горным лыжам.виталий мутко также рассказал, что в ближайшее время будет создано специальное подразделение в центре спортивной подготовки минспорттуризма. ""будут выделены ставки для тренеров и спортсменов"", - отметил он.кроме того, министр заверил, что все федеральные базы по видам спорта, которые открываются в стране, будут доступны и для паралимпийцев.глава федерации спорта инвалидов с поражением опорно-двигательного аппарата (пода) лев селезнев отметил, что спортсмены сборных находятся в ""боевом настроении"" на сборах. особое внимание, по его словам, уделяется вопросам антидопинговой пропаганды.""мы убеждаем, что международные скандалы, связанные с ""липовыми"" медалями, перечеркивают все наши успехи на играх"", - подчеркнул он.российские спортсмены завоевали 33 лицензии на паралимпиаду. поименный состав сборной будет назван позже, так как, по словам вице-президента паралимпийского комитета россии павла рожкова, на попадание в команду"
96,"оао ""сильвинит"" планирует в 2010 году увеличить выпуск калия на 20%","""сильвинит"" намерен увеличить выпуск калия","оао ""сильвинит"", один из крупнейших в россии и мире производителей хлористого калия, планирует в 2010 году направить на приоритетные инвестиционные проекты свыше 3 миллиардов рублей, а также увеличить выпуск калия на 20% по сравнению с 2009 годом - до 4,2 миллиона тонн, говорится в сообщении компании со ссылкой на генерального директора ""сильвинита"" ростяма сабирова.""на приоритетные инвестиционные проекты, такие как реконструкция сильвинитовой и карналлитовой фабрик, а также шахтного ствола на первом рудоуправлении и другие, мы планируем направить в 2010 году свыше 3 миллиардов рублей"", - приводятся в сообщении его слова.по словам сабирова, с начала 2000-х годов компания создала большой запас прочности благодаря системной политике модернизации производственного оборудования и технологий, что позволило нам сосредоточиться на реализации только первостепенных инвестиционных проектов. ""этот принцип будет реализован и в 2010 году"", - отмечает он.в 2009 году на предприятии реализована инвестиционная программа общим объёмом свыше 5,3 миллиарда рублей. основным событием года стало завершение строительства и запуск в эксплуатацию комплекса нового шахтного ствола на втором рудоуправлении, отмечает компания.""в своих производственных планах на 2010 год мы закладываем умеренно-пессимистичную модель роста - по итогам года планируем выпустить 4,2 миллиона тонн хлористого калия"",- прогнозирует сабиров.ранее сообщалось, что ""сильвинит"" снизил в 2009 году производство калия на 31,4%. это не единственное предприятие, сократившее добычу калия в 2009 году. подобное произошло и на предприятии ""уралкалий"" - снизил производство калия в 2009 году на 45,3%.оао ""сильвинит"" - российский горнопромышленный комплекс по добыче и производству калийных удобрений и различных видов солей. предприятие разрабатывает единственное в россии (второе по запасам в мире"
97,Малайзийские власти арестовали по обвинению в терроризме десять человек,десять человек арестовано по обвинению в терроризме в малайзии,"малайзийские власти арестовали по обвинению в терроризме десять человек, включая девять иностранцев, заявил в среду министр внутренних дел страны хишамуддин хусейн (hishammuddin hussein).принятый в 60-е годы в разгар борьбы с маоистами закон допускает арест и содержание в тюрьме без решения суда и на неограниченный срок подозреваемых в действиях, которые, на взгляд властей, могут представлять угрозу для национальной безопасности.""я могу подтвердить, что десять человек были арестованы в связи с терактами в соответствии с законом о внутренней безопасности (звб)"", - цитируют слова хусейна региональные электронные сми.""они представляли очень серьезную угрозу безопасности нашей страны"", - сказал о новых арестованных министр, не назвавший их гражданство или конкретную причину ареста.после массовых протестов в августе прошлого года против продолжающегося применения старого закона в современных условиях правительство малайзии освободило в сентябре пятерых задержанных в соответствии с звб подданных, которые провели за решеткой до семи лет.однако, по данным местной правозащитной организации ""отменить звб"", только на прошлой неделе в малайзии в соответствии с этим законом было задержано 50 человек, 38 из которых были, однако, позже освобождены, передает агентство рейтер."
98,В бельгии число пострадавших в результате взрыва в жилом доме возросло до 40,число раненых при взрыве в доме на востоке бельгии возросло до 40,"число пострадавших в результате взрыва, произошедшего в ночь на среду в жилом доме в городе льеж на востоке бельгии возросло до 40 человек, двое считаются пропавшими без вести, сообщает агентство франс пресс со ссылкой на представителя спасательных служб города.ранее сообщалось о 20 раненых.""число жертв к настоящему моменту равно 40, некоторые из пострадавших находятся в тяжелом состоянии. двое человек считаются пропавшими без вести"", - цитирует агентство слова одного из спасателей.также он добавил, что в результате взрыва обрушилось только одно здание, второе, стоящее рядом сильно пострадало.по данным бельгийских сми, в результате обрушения одного из зданий ранения получил один из спасателей, однако его жизни ничего не угрожает.на месте происшествия ведется разбор завалов обрушившегося дома и поиск пострадавших людей. по предварительной версии причиной инцидента стал взрыв бытового газа. в результате взрыва пострадали близлежащие дома, взрывной волной выбиты стекла здания городского муниципалитета, сообщают местные сми."
99,"арбитражный суд москвы рассмотрит заявление ""петрокоммерца"" о банкротстве ломозаготовительного предприятия зао ""ломпром""","иск ""петрокоммерца"" о банкротстве компании гк ""эстар"" рассмотрит суд","арбитражный суд москвы назначил на 1 февраля предварительное заседание по заявлению оао ""банк ""петрокоммерц"" о признании несостоятельным (банкротом) ломозаготовительного предприятия зао ""ломпром"", входящего в металлургическую группу компаний ""эстар"", говорится в материалах официального сайта суда.""ломпром"" - не единственный актив ""эстара"", которому грозит банкротство. в частности, 12 февраля суд рассмотрит заявление ""петрокоммерца"" о банкротстве ооо ""металлургическая компания ""эстар"". банк подал его после неисполнения меткомпанией решения московского арбитража о взыскании с нее как поручителя по кредитному договору банка с ооо ""тд ""эстар"" 795,8 миллиона рублей (из них основного долга - 750 миллионов рублей).""петрокоммерц"" 9 июня 2009 года подал в суд иски на 2,1 миллиарда рублей к предприятиям группы ""эстар"", долги которой в целом составляют около 1 миллиарда долларов.в настоящее время в группу компаний ""эстар"" входят новосибирский металлургический завод имени кузьмина, златоустовский металлургический завод, нытвенский металлургический завод, волгоградский завод труб малого диаметра, энгельсский трубный завод, завод ""стальной профиль"", гурьевский металлургический завод, ростовский электрометаллургический завод, ""волга-фэст"" (фроловский электросталеплавильный завод), торговый дом ""эстар"", ломозаготовительное предприятие зао ""ломпром""."
100,Союз пивоваров оставил иск к главному наркологу минздрава,суд оставил без движения иск пивоваров к главному наркологу минздрава,"арбитражный суд москвы оставил без движения исковое заявление союза российских пивоваров к главному наркологу министерства здравоохранения и социального развития (минздравсоцразвития) рф евгению брюну о защите деловой репутации, поданное в суд 13 января, следует из материалов, опубликованных в среду на официальном сайте суда.пивовары требуют опровергнуть сделанные ранее чиновником заявления о процессе производства пива.решение оставить иск без движения судья наталья карева приняла 18 января.по сообщению союза пивоваров, в своем публичном выступлении брюн заявил, что, ""например, есть 16-18 градусные сорта пива, в которые добавляют этиловый спирт"" и ""практически везде идет добавление спирта, так как везде идет ускоренная технология пивоварения: останавливают брожения именно спиртом"".также главный нарколог минздравсоцразвития сообщил, что ""классические технологии производства пива в россии нарушаются"", ""пива в стране производится много, но пить его нельзя"", и еще раз подчеркнул, что на определенной стадии производства этого напитка в него добавляют спирт, говорится в сообщении.в своем исковом заявлении отраслевой союз требует обязать ответчика опубликовать опровержение на сделанные ранее заявления и признать сведения, опубликованные публично, не соответствующими действительности.союз российских пивоваров считает, что высказывания чиновника минздравсоцразвития рф вводят в заблуждение потребителей и все общество, и подталкивают власти к ошибочным регулятивным мерам, способным негативно повлиять на попытку решения проблем пьянства в россии.""пользуясь административным статусом, евгений брюн позволил себе высказывания, которые продолжают демонизацию пива, перекладывают на пивоваренную отрасль ответственность за социальные проблемы, отвлекают внимание от реальных причин пьян"
101,мид греции призвал не забывать уроки холокоста,греция призывает не забывать уроки холокоста,"первый замминистра иностранных дел греции димитрис друцас призвал в среду не забывать уроки холокоста.греция отмечает 27 января день памяти жертв холокоста.""кровь, которую пришлось пролить еврейскому населению европы, вызывает ужас и навсегда останется в нашей памяти"", - говорится в заявлении греческого дипломата, посвященном 65-летию освобождения концлагеря аушвиц-биркенау на территории польши.после того, как красная армия освободила остававшихся в живых узников концлагеря, выяснилось, что на этом месте были уничтожены миллионы людей, в первую очередь евреев. среди жертв были также поляки, цыгане, советские военнопленные.""миллионы мужчин и женщин не смогли выжить, чтобы увидеть день освобождения. некоторым это удалось, из них достаточное число еще живы и как свидетели напоминают нам о тех крайностях, до которых может дойти человеческое существование"", - заявил замглавы мид греции.читайте интервью самуэля пизара, который прошел через ужасы трех лагерей смерти >>он напомнил, что множество греческих евреев были депортированы и убиты в аушвице. по различным подсчетам, в холокост погибли более трех четвертей из 80-тысячной еврейской общины греции. ряд жителей греции, пытавшихся защитить сограждан-евреев, получили впоследствии от израильского мемориального музея катастрофы и героизма яд ва-шем звание ""праведников народов мира""."
102,"В пермском крае возбудило дело по факту незаконного получения неизвестным свыше 1,2 млн рублей из бюджета перми","аноним незаконно получил из бюджета перми более 1,2 млн рублей - гувд","гувд по пермскому краю возбудило уголовное дело по факту незаконного получения неизвестным свыше 1,2 миллиона рублей из бюджета перми от имени компании ""автотранс"", сообщает в среду пресс-служба регионального гувд.по данным ведомства, в мае прошлого года неизвестный, действуя от имени пермской компании ""автотранс"", подал заявку в администрацию на участие в организации общественных работ. с подрядчиком были заключены договора на создание 152 рабочих мест.""в период с июня по сентябрь 2009 года неустановленное лицо, действуя от имени ооо ""автотранс"", для получения субсидий по возмещению понесенных затрат предоставило в администрацию ленинского района перми отчетные документы о проделанной работе. на основании представленных документов на расчетный счет ооо ""автотранс"" в банке были перечислены денежные средства в общей сумме 2,204 миллиона рублей"", - сообщает гувд.в действительности, по данным ведомства, в общественных работах были задействованы не более 30 человек, а в администрацию были предоставлены ложные данные.""путем обмана и злоупотребления доверием неустановленное лицо незаконно получило денежные средства в размере не менее 1,266 миллиона рублей, причинив муниципальному бюджету перми ущерб в особо крупном размере"", - говорится в сообщении.краевое гувд возбудило уголовное дело по части 4 статьи 159 ук рф (мошенничество в особо крупном размере), санкция которой предусматривает до десяти лет лишения свободы."
103,янукович не поддержит ни одного кандидата на пост президента,тигипко не поддержит никого из кандидатов в президенты украины,"сергей тигипко, занявший третье место (13% голосов) в первом туре президентских выборов 17 января, не намерен поддерживать ни одного из кандидатов на пост президента во втором туре, несмотря на предложение занять пост премьер-министра.""что касается разговора о поддержке, то поддерживать кого-то до конца второго тура я не буду. у нас есть своя партия, своя позиция"", - заявил тигипко в среду во время телефонной линии в газете ""комсомольская правда - украина"".прогнозы итогов второго тура выборов на украине >>первый тур выборов состоялся 17 января, первое место занял лидер партии регионов виктор янукович, набрав 35,32% голосов, на втором месте премьер-министр юлия тимошенко (25,05%). именно они примут участие во втором туре 7 февраля.во вторник кандидат в президенты юлия тимошенко, которая сейчас возглавляет украинское правительство, официально предложила тигипко стать премьером, если она выиграет второй тур выборов.янукович публично не делал тигипко предложение возглавить кабмин в случае своей победы на выборах."
104,В лондоне пройдет международная встреча по борьбе с терроризмом,"йемен: война, которую уже нельзя не замечать","27 января в лондоне пройдет международная встреча по содействию йемену в политике, экономике и безопасности. в первую очередь речь пойдет о борьбе с терроризмом в лице «аль-каиды». вообще-то, мероприятие предваряет собой точно такую же конференцию по афганистану, и участники будут те же, включая российского министра иностранных дел сергея лаврова. то есть, собирались обсуждать афганистан, но тут загорелось в другом месте, нужно и там срочно тушить пожар.первый звонок по части надвигающейся войны с террором прозвучал именно в йемене. первые теракты, связанные с «аль-каидой», произошли в декабре 1992 года в двух отелях в адене - южной столице йемена. атака была направлена против американских солдат, направлявшихся в сомали, но никто из американцев не пострадал, и всерьез в сша эти теракты не восприняли. следующий сигнал был дан в 1998 году после взрывов посольств сша в столицах кении и танзании. именно тогда усама бен ладен попал в список «10 самых разыскиваемых людей», составленный фбр. дальнейшие события продемонстрировали, что всерьез возможности «аль-каиды» никто не оценил.12 октября 2000 боевики этой организации взорвали американский эсминец «коул», стоявший в гавани адена. в результате террористической атаки 17 американских военных моряков погибли и 37 получили ранения. вот здесь йемен заметили. но после терактов в сша год спустя сконцентрировались на афганистане, затем перешли на ирак, сейчас снова взялись за афганистан. тем временем семена «аль-каиды» продолжали прорастать в том регионе, где все, собственно, и начиналось - в африке и на южной оконечности аравийского полуострова.й"
